subject,repetition,g,swap,SD,nTrials
42,6,0.0258042867754369,0.000140323396836436,21.9776252053239,115
43,1,0.37879715951498,6.54722493837097e-06,21.1266261483432,114
43,2,0.0670320141828729,0.000280880199409696,17.1764236655767,116
43,3,0.119810424158759,0.000462619813305648,15.8949398749889,115
43,4,0.0951571517582623,0.000152566838071735,15.6494884936532,111
43,5,0.0884391041543319,0.00109790240020822,17.7368739867979,114
43,6,0.0278532243790931,0.000109725439145084,17.6488190901514,114
44,1,0.174101760544242,0.000536871754895422,21.1842854584076,110
44,2,0.0351040439282747,0.000716015466023761,19.126744567776,119
44,3,0.000778243243236418,0.000666497290336354,14.7363669639737,115
44,4,0.0403790881776762,0.000161442562376433,13.7182425198431,114
44,5,0.00104925763032776,0.00106874511335262,16.1191463458618,110
44,6,0.024735342600794,0.000149256750837328,13.9938107343632,115
45,1,0.470484867127949,0.000369767377503741,21.8692658417906,116
45,2,0.0925722201670094,0.000220219444870623,17.6828565919054,114
45,3,0.0424020256636163,3.21670864474955e-05,20.3377990305775,115
45,4,0.0741812106368919,5.40248962755532e-05,21.1121038798587,113
45,5,0.0708840684207055,0.000162664802073348,20.9384699991437,112
45,6,0.000488550846712378,0.000237993848174836,21.1145248517027,114
46,1,0.675794270572231,0.000640148318282987,27.6878269388491,111
46,2,0.256335145021115,0.000363149019741548,27.9881793662205,108
46,3,0.396704709584975,0.000349525257927215,19.1867995933891,107
46,4,0.268912972425764,0.000204245054588371,18.9634088944428,107
46,5,0.263564120852342,0.000349673478405164,21.7976635181056,110
46,6,0.167284961757907,0.000305527368991529,26.5937024267868,105
47,1,0.372633978021105,0.000244235526694998,55.0781322894896,114
47,2,0.181581542819562,3.7860985414119e-05,28.6621821619074,116
47,3,0.175475812261548,0.000329238908209374,23.9523027848828,114
47,4,0.171064402226095,0.000155332257615467,22.2590693799256,115
47,5,0.36537352069291,0.00100557436558352,23.8105647490929,113
47,6,0.173449244672419,0.000249082203886115,25.9656631619307,112
48,1,0.490864505531481,0.000322060707672418,16.1745270770776,120
48,2,0.150648129057014,0.000276808430362539,15.3386086328073,115
48,3,0.0485393475870316,0.000274715264888537,15.2349258230148,115
48,4,0.0318456634188753,4.32056751213305e-05,15.898884178942,111
48,5,0.097488392692118,0.000587087865162117,18.5707085333714,107
48,6,0.023930325205279,0.000737396696288101,16.5293411565167,116
49,1,0.294953357333848,0.00043097174677436,25.3896160372005,114
49,2,0.0989280431656495,7.67773891516255e-05,23.4663010289355,111
49,3,0.0354733950860866,0.000151808675145212,20.8614364249354,116
49,4,0.044248671072645,0.00028715231805719,19.9550528988208,113
49,5,0.191851589206927,0.000800234136628463,19.7703812978682,114
49,6,0.0626109049056187,0.000235874730056208,24.7129156553298,116
50,1,0.378581412335612,0.000221113994158832,21.7419015503273,110
50,2,0.068026655505953,0.000417401330726137,19.8970058561309,114
50,3,0.00198211945277556,0.000158254082454869,20.7822772139651,119
50,4,2.24514532609892e-06,0.000645701653347817,21.1703746467114,114
50,5,0.0472675989681285,0.000239307230325569,16.2518762808843,113
50,6,0.0323109712515529,0.000377618779464009,15.4223495280622,113
51,1,0.158887730960131,0.000113418868233035,29.209763716507,119
51,2,0.000149475909862296,0.000987999304737199,24.0937344125707,118
51,3,2.18698092478667e-05,3.96585844735734e-05,22.3194994138965,114
51,4,0.0183504851620978,9.03120004726271e-05,21.3580655141267,114
51,5,0.012790477637868,7.59371328061249e-06,20.1254484449208,105
51,6,0.00632553307157632,0.000266713629074196,19.9126551456009,114
52,1,0.342203204682964,0.000218785790760208,22.6171500096747,115
52,2,0.0186080312069194,0.000150271727063336,16.9412779523833,111
52,3,0.00282304659607647,0.0012852862187886,15.536441563552,116
52,4,0.0150761996782647,0.000136346995988676,15.3766183380131,117
52,5,0.085573259952586,0.000940285975457359,15.0704719096739,110
52,6,0.0112630915892098,0.000265715117612087,14.4107427054757,115
