subject,repetition,context,interference,g,swap,SD,nTrials
30,5,1,1,0.0111104709219247,0.00125783278898069,21.1640312595633,26
31,1,0,0,0.0505171200890267,0.00105161633874573,14.8879397602799,30
31,1,1,0,0.00392197593962569,0.000757529717131074,20.2442946135237,29
31,1,1,1,0.705125642058133,3.57792080466178e-05,13.9894470488405,29
31,5,0,0,0.00285217982406792,0.000138972253572876,12.10153354835,30
31,5,0,1,0.0742245799530507,9.57472566196355e-05,17.5219616734908,26
31,5,1,0,0.00871935323915764,0.0012737069227899,18.1523259804485,27
31,5,1,1,0.00466012156947101,0.00169897718486371,13.1882891821675,24
32,1,0,0,0.000137022638646556,0.00207492680682557,19.4689475522201,28
32,1,0,1,0.765656074828774,0.0068813983965463,28.1158069397444,29
32,1,1,0,0.104617875597786,0.000652385406584102,21.1071284665359,29
32,5,0,0,0.00160366933210284,9.33565971001721e-05,9.63533261215419,30
32,5,0,1,0.000444314833885231,0.000446876044916336,22.558831030869,29
32,5,1,0,0.0415738395154718,0.00114329009387791,15.3811306689896,28
32,5,1,1,0.000406197893407345,0.000695133860455393,19.7470982969758,28
33,1,0,0,0.147277880244212,0.00341699920317601,25.6856056756359,30
33,1,1,0,0.177147134598943,3.17656395328689e-05,18.8827483222663,28
33,1,1,1,0.405866254881361,0.00155867487677774,52.910182422114,27
33,5,0,0,0.00233238766716317,0.00358370340434613,14.0986989857879,28
33,5,0,1,0.260679439775618,0.000649025573457441,9.41293457676147,27
33,5,1,0,0.00419989158289569,0.0043140039703204,11.5871095707152,29
33,5,1,1,0.0668529029480323,0.00366150175998464,20.2827597731708,24
34,1,0,0,0.474019646256788,0.000701837455097441,24.8933013868533,30
34,1,0,1,0.936167471779525,0.00117414096758353,41.3516322657621,28
34,1,1,0,0.016382386514586,5.77310756048992e-05,46.7818982276489,30
34,1,1,1,0.147004364318319,0.607120368107924,228061.035804532,28
34,5,0,0,0.038268383073687,0.000411996656970822,14.8832904912181,27
34,5,0,1,0.0998967288133362,0.000801710593192468,28.6897716646294,27
34,5,1,0,0.00463681717746865,0.000799530930450137,20.2925095923716,30
34,5,1,1,0.246461984526834,0.00329702732462003,25.0630792327847,26
35,1,0,0,0.00452362083387878,0.000196495955782862,14.6566018374439,30
35,1,0,1,0.52477930815064,0.000684590634698447,28.2192752540105,28
35,1,1,0,0.00941283351888478,0.000186289723585763,19.5289203894268,29
35,5,0,0,0.0565332652191112,8.27829408266596e-05,17.5876176491196,29
35,5,0,1,0.00555082706741514,0.00430096082379937,23.0336713124839,27
35,5,1,0,0.00628659480117565,0.00112719878736145,26.2318990773793,27
35,5,1,1,0.0527548456449032,0.000510575637664067,33.9920537631133,27
36,1,0,0,0.00213447543111749,0.000830361708400481,23.7043658961772,29
36,1,0,1,0.44526696875532,0.00346430983852756,65.1261283888861,30
36,1,1,0,0.00398256404911614,3.68808256610556e-05,25.0893337530943,29
36,5,0,0,0.00293998276656646,0.00138353789155347,18.1025757962624,30
36,5,0,1,0.0961453241137769,0.00349741192572215,21.1482926597434,27
36,5,1,0,0.00229913023554684,0.0036002178057151,18.2206561324673,29
36,5,1,1,0.107482107636207,0.00358388055374467,16.1273989655256,24
