subject,repetition,context,probe,g,swap,SD,nTrials
20,5,1,1,0.0890971720993119,0.000491089959503984,28.884027048513,45
20,1,0,2,0.286211665524869,0.00483708387354297,36.1143195827482,29
20,1,1,2,0.370680376752115,0.000912910128836875,31.2945182007199,30
20,5,0,2,0.123924059008967,0.00114091932470525,31.4294619278213,29
20,5,1,2,0.286500321794876,0.00202306328514183,26.5509644296889,29
21,1,0,1,0.418598712791332,0.000427886268482061,16.7397099295246,42
21,1,1,1,0.569757578968073,0.00129225869359962,18.9544744219683,44
21,5,0,1,0.409437865779076,0.000981157528696834,22.4297183920476,44
21,5,1,1,0.191003212293827,0.00490706646929386,38.4415238602121,41
21,1,0,2,0.512154020892722,0.00495963533137772,16.9766265317428,30
21,1,1,2,0.681730870652069,0.00261151073217348,11.0161257365542,29
21,5,0,2,0.129706337286194,0.00484987884710615,30.7092276293949,28
21,5,1,2,0.0944530581004782,5.24075767139049e-05,30.2640355828961,29
22,1,0,1,0.398463286897941,0.00114869406651764,19.0661296364922,44
22,1,1,1,0.319096231099095,0.0037860759251894,21.6708224597649,45
22,5,0,1,0.0755332211351458,0.00169442455626261,27.4481642133862,43
22,5,1,1,0.0813036976953477,0.00252872071849186,24.8179736148526,45
22,1,0,2,0.30390323576744,0.00188206949332563,15.9989353178002,30
22,1,1,2,0.150768756042716,0.0039040936844605,21.0790463548855,30
22,5,0,2,0.255338682558501,0.000455651192358738,12.7814645989202,30
22,5,1,2,0.117918235269367,0.00012072983653936,20.6798131690519,29
23,1,0,1,0.572935151787896,0.00243925316583355,24.0975889666478,45
23,1,1,1,0.179779038110904,0.000656373038823601,31.5997975702747,45
23,5,0,1,0.100868198697133,2.20967458771926e-05,28.3879554990006,45
23,5,1,1,0.177451988630288,0.000992424143195066,27.449629680049,45
23,1,0,2,0.00684321341981157,0.00301439386800645,35.4744720324281,30
23,1,1,2,0.0951169468723172,0.000547854447853602,31.1048975594015,30
23,5,0,2,0.480859252792348,0.0012470939681913,17.5994299639186,30
23,5,1,2,0.00735033051575044,0.00362271412603894,33.4148426079779,30
24,1,0,1,0.404225311798347,0.00107510359630335,15.8119926557786,45
24,1,1,1,0.0659879574302935,0.00159831200604443,26.9451242764717,45
24,5,0,1,0.0422759532051558,0.000181808625305941,18.6747320911609,43
24,5,1,1,0.215515290142695,0.00013658895185023,16.0222148656792,45
24,1,0,2,0.336068333018237,0.000589315512865164,24.9832768009747,29
24,1,1,2,0.0393669521593687,0.00174067573176567,27.7247583762776,29
24,5,0,2,0.00774965427529308,0.00595898256902002,28.1931063847834,30
