subject,repetition,context,interference,g,SD,nTrials
23,5,1,0,0.000473693086094268,18.8428099790192,22
23,5,1,1,0.193863527384348,18.3360073052325,23
24,1,0,0,0.115504280363667,17.0046675850414,22
24,1,0,1,0.469402841529637,26.576839363067,25
24,1,1,0,0.161012750893425,22.534647816696,24
24,1,1,1,0.912619172745671,16.023757323169,25
24,5,0,0,0.00136453578703794,23.4772020952361,21
24,5,0,1,0.376542505982553,13.67405862332,20
24,5,1,0,0.0697237160208463,28.8947776934523,23
24,5,1,1,0.421430880853215,18.06768081988,26
25,1,0,0,0.0614827057875457,20.3722675961275,24
25,1,0,1,0.652814557239162,22.7505393776707,18
25,1,1,0,0.271051556522086,23.1758572687252,24
25,1,1,1,0.734718825931836,3.98469713627535,27
25,5,0,0,0.000274193638828156,17.9078221864903,21
25,5,0,1,0.00132136905700542,20.1497866428006,23
25,5,1,0,0.0539901093063886,15.3478311122355,25
25,5,1,1,0.000196819733580818,12.5732968189426,23
26,1,0,0,0.000686895826734812,24.1988128332739,19
26,1,0,1,0.653784922231489,17.9401280425653,26
26,1,1,0,0.0725260944758926,30.4169033423833,22
26,1,1,1,0.150352137199234,87.033331459572,24
26,5,0,0,0.150908094232533,18.6748738305376,23
26,5,0,1,0.0713757369562218,20.8354842793629,20
26,5,1,0,0.0614053567206466,22.4560664777164,23
26,5,1,1,0.130217434256635,18.2536164171146,23
27,1,0,0,0.0595204599315962,24.2412951391415,26
27,1,0,1,0.495315562260412,30.4163662696998,25
27,1,1,0,0.0874225086068109,16.8541396226036,29
27,1,1,1,0.506027934920108,14.6472195903096,25
27,5,0,0,0.109095235167351,16.8200228831142,26
27,5,0,1,0.0105273973519151,18.3973849639738,26
27,5,1,0,0.00137242353064493,17.0609411402957,22
27,5,1,1,0.000298720063854341,21.237591934969,26
28,1,0,0,0.000134957295280982,18.9964775608794,24
28,1,0,1,0.00337395802132592,35.8436688708959,24
28,1,1,0,0.00175644838688876,23.4795223374246,25
28,1,1,1,0.53730332673875,18.0861689415142,21
28,5,0,0,0.000221228805096639,12.4724857153507,22
28,5,0,1,0.00222987912437508,10.6280422430333,22
