subject,test,repetition,g,SD,nTrials
49,2,5,0.0382765228127497,16.6933766259983,80
49,2,6,0.000272030537173127,16.5873098657088,78
50,1,1,0.0909354600412362,25.0331417507712,69
50,1,2,0.129636002151804,27.5336774076613,72
50,1,3,0.283244337132523,16.5784400949294,73
50,1,4,0.184784978108061,22.5343838571791,66
50,1,5,0.200507867209567,25.1988433734073,69
50,1,6,0.152353542749795,25.6441740006378,72
50,2,1,0.133452405069309,43.0288314125502,66
50,2,2,0.196793311754363,32.3961310486076,70
50,2,3,0.12253995010845,25.8095422952544,67
50,2,4,0.254280708317705,20.231685334719,69
50,2,5,0.304931262001526,23.3875781628749,70
50,2,6,0.233584635100642,24.2301156734016,70
51,1,1,0.0619697625224384,18.9995967119184,76
51,1,2,0.000678806414270528,18.6626735994939,79
51,1,3,0.0710752354581687,15.7442343276347,76
51,1,4,0.0356145929061139,16.4126732869844,78
51,1,5,0.022740343868486,23.2042665341897,77
51,1,6,0.0254810606283697,15.8375473332849,76
51,2,1,0.220745123010314,18.8187447474292,73
51,2,2,0.0274510521064775,17.7463061837041,78
51,2,3,0.0278249321909885,17.4234013626259,78
51,2,4,2.3745182448515e-05,16.0502545857134,76
51,2,5,0.000408267801939697,16.7177123611967,78
51,2,6,0.00011942038146445,14.3316147378891,75
52,1,1,0.0358942807109938,17.0574181545884,77
52,1,2,0.0357271209424224,17.8180268309824,74
52,1,3,0.0186793723143313,16.5010288920879,79
52,1,4,0.000155582497563245,17.5789593978818,76
52,1,5,0.00121665079445069,17.0125491570705,73
52,1,6,0.0326764005978214,18.2392176058329,74
52,2,1,0.0221871788588851,24.6370576881341,79
52,2,2,0.0662578092115434,21.9214073845087,79
52,2,3,0.00114485891600324,19.8241378626989,77
52,2,4,0.000960779684752427,18.89026658802,78
52,2,5,0.000382249117606326,16.4788166530093,74
52,2,6,0.000880370012593604,16.484149823539,76
53,1,1,0.00223228366006247,27.0996109750965,79
53,1,2,0.000169552446318881,16.2413000001717,80
53,1,3,0.000183869012499234,17.8223117845416,80
53,1,4,0.000518567205973059,20.42327850111,79
53,1,5,8.39298200053205e-05,17.7043280606804,79
53,1,6,0.0312199655321567,19.389602053549,80
53,2,1,0.133998731199627,24.1895621570539,80
53,2,2,0.0315890241250662,18.9121208988091,79
53,2,3,0.0202570023552631,18.7511478366214,79
53,2,4,0.0155050225163915,14.5609125726826,79
53,2,5,0.0126693378509159,18.7157770857909,78
53,2,6,9.84628104208307e-05,14.5779461104866,79
54,1,1,0.0488268714162244,17.544052617799,67
54,1,2,0.000134132568592865,15.6641253321159,78
54,1,3,0.000214190412322788,14.0931648444852,79
54,1,4,9.31048825683245e-05,15.0809570661071,79
54,1,5,4.70120889268181e-05,15.6949240458546,77
54,1,6,0.000290934335707193,16.6537778587358,80
54,2,1,0.0584346588585197,18.5290171925901,68
54,2,2,0.000166193210116369,14.9571578917464,79
54,2,3,0.0157389765969243,12.1837140324029,78
54,2,4,0.000109850401439643,12.3749800826386,73
54,2,5,7.95625245415309e-05,13.0115159356615,77
54,2,6,1.53589985429884e-05,12.1191085137918,74
55,1,1,0.0216758685231165,16.7179568959544,78
55,1,2,0.020902054834821,16.3906388062525,80
55,1,3,0.000713329242275678,13.5842780938464,78
55,1,4,0.0161669104706306,14.4023350906747,79
55,1,5,0.0175788373460038,12.7921112780856,78
55,1,6,0.000641408206112627,15.5042361848733,79
55,2,1,0.123190653413438,21.1258930046369,80
55,2,2,0.0014207305489114,19.8809345871718,78
55,2,3,0.0476513056316135,12.6875923702868,80
55,2,4,8.38851140680004e-05,16.9962221708557,80
55,2,5,0.000393117078328933,20.4832192677348,80
55,2,6,0.000505410052947465,16.0643467875143,80
56,1,1,0.143049753574968,19.4067047629329,78
56,1,2,0.0892635175710388,18.7244917164911,74
56,1,3,5.02784040342886e-05,22.8136322451097,80
56,1,4,0.00055412634978066,20.0572643534462,74
56,1,5,0.0616556737881553,20.1659019064944,79
56,1,6,0.0881310520723325,17.5479775666662,75
56,2,1,0.470754380686034,20.9343413684186,77
56,2,2,0.191931832875243,20.0683595360937,77
56,2,3,0.127888340580837,23.7331115460882,79
56,2,4,0.159454661870415,20.7996062032564,75
56,2,5,0.10087394407662,25.5983678710081,77
56,2,6,0.0541472518496246,28.5379165156272,77
57,1,1,0.0639603291130587,22.9094216793208,79
57,1,2,2.86500163047005e-05,25.1841825419431,80
57,1,3,0.0539414108318171,20.725621557105,79
57,1,4,0.0399794410675573,20.9040094731747,80
57,1,5,0.0360568293900176,21.4640760190523,80
57,1,6,0.0371719354387991,19.5646805525555,80
57,2,1,0.343724614405422,46.9963837374934,80
57,2,2,0.188363551492653,22.77301000691,80
57,2,3,0.00107562935227217,25.6799332095054,78
57,2,4,0.127033814345259,19.6863576403327,80
57,2,5,0.0419217991504447,23.3773711161618,79
57,2,6,0.000180672988113739,23.6165771421667,80
58,1,1,0.0208897541343124,21.1764261028075,80
58,1,2,0.000266311888917127,14.1717962119436,80
