subject,test,repetition,context,g,SD,nTrials
32,1,5,0,3.27870799514546e-05,21.0308761214186,41
32,1,5,1,0.0643813628048999,16.4266252418269,39
32,2,1,0,0.0823478936412921,25.5728102372416,38
32,2,1,1,0.036179167687813,21.9618614353314,42
32,2,5,0,0.00164362659148402,18.7529320231638,41
32,2,5,1,0.000350594878240996,17.6644506033066,39
33,1,1,0,0.14609524670916,18.9097398958543,40
33,1,1,1,0.107987589331647,23.06682239218,40
33,1,5,0,0.174867306935128,17.93200880376,41
33,1,5,1,0.000432647384958392,19.8105742636692,35
33,2,1,0,0.148937501746793,20.8243400758772,40
33,2,1,1,0.124143745618412,43.4954678934998,40
33,2,5,0,0.0782682706352619,24.4867459342497,41
33,2,5,1,0.00233116163979515,29.5744269034213,39
34,1,1,0,0.0910639408515969,17.7336350397332,40
34,1,1,1,0.15273305806225,29.4948706915634,40
34,1,5,0,0.000371241939330128,18.6603298860269,41
34,1,5,1,0.0722424762356527,18.632833018845,39
34,2,1,0,0.475048904163547,23.8445094501057,40
34,2,1,1,0.439599579499506,23.6573823306547,39
34,2,5,0,0.0704859072581921,15.3492393428746,39
34,2,5,1,0.102366461973298,17.9794234967369,39
35,1,1,0,0.0440889531719908,24.9899351005235,39
35,1,1,1,0.0249458198579094,22.9018183896087,41
35,1,5,0,0.0520574306123828,16.585284186217,41
35,1,5,1,0.0808897055145311,23.1326805114465,39
35,2,1,0,0.0484893249036339,26.7095824262301,38
35,2,1,1,0.117656656158983,26.438450946587,40
35,2,5,0,0.00107936683550534,21.6884311321406,39
35,2,5,1,0.000890268512787201,22.4243459622905,39
36,1,1,0,0.0823476111775818,19.7814684265951,40
36,1,1,1,0.0492607191892375,19.1938606674684,40
36,1,5,0,0.000441030588957433,16.5115487722167,41
36,1,5,1,0.115983193300796,12.2496091263576,39
36,2,1,0,0.169187957700088,27.1923319849992,39
36,2,1,1,0.390419132662712,16.8544191295422,40
36,2,5,0,0.000445095175817515,16.7161284364589,41
36,2,5,1,0.000372574036275554,17.2975688727495,38
37,1,1,0,0.175710546208943,15.291081368847,35
37,1,1,1,0.0558544824010222,22.3932763673218,36
37,1,5,0,0.0451917432081783,19.8634583553395,35
37,1,5,1,0.0577217568865849,21.3296315747523,34
37,2,1,0,0.428350268434058,19.3338856898241,36
37,2,1,1,0.240689684907211,36.7418924049408,38
37,2,5,0,0.000270618350776516,24.5044338165688,37
37,2,5,1,0.00227939945718401,24.2215225214188,38
38,1,1,0,0.0841304752249759,26.4624074305973,39
38,1,1,1,0.000151933087628828,23.6549126261431,40
38,1,5,0,0.00246491512268449,28.848931218496,44
38,1,5,1,0.000454937845914796,18.8305330332738,36
38,2,1,0,0.264551892817417,21.2768580493157,40
38,2,1,1,0.344203474858606,21.9427730110927,40
38,2,5,0,0.00146291281475772,27.8314386297561,44
38,2,5,1,0.00220653311558678,25.929303762589,36
39,1,1,0,0.149609773701746,14.6367201937911,38
39,1,1,1,0.0387218780472611,22.2580178010065,39
39,1,5,0,1.49592280832347e-05,21.1750845506906,37
39,1,5,1,0.000235180393464524,20.2673277762159,42
39,2,1,0,0.119217696063643,22.0330209102024,39
39,2,1,1,0.117070645100796,22.3045683084418,41
39,2,5,0,0.0644528902909951,14.7384454271661,35
39,2,5,1,0.000135126212854227,20.9385192728502,41
40,1,1,0,0.081368331597769,17.1448815419214,39
40,1,1,1,0.0395388171785339,18.0229762783427,40
40,1,5,0,0.00207561165126328,15.622383662318,41
40,1,5,1,0.000302400261456439,16.0411717941644,39
40,2,1,0,0.082060340385001,17.6065947972419,37
40,2,1,1,0.103705029032219,17.0612035386571,40
40,2,5,0,0.000795372991069306,12.0699852201209,40
40,2,5,1,0.0350886886984313,15.1638279717109,39
41,1,1,0,0.105790671837964,14.2993141077835,41
41,1,1,1,0.0353927878920542,18.0172799786533,38
41,1,5,0,8.88235061584277e-05,17.0270645500485,38
41,1,5,1,0.000240594314320411,22.5100336247792,42
41,2,1,0,0.0150996916255155,36.7685861016298,39
41,2,1,1,0.253082154318029,18.8023384461959,38
